area,crm_cd,vict_age,vict_sex,vict_descent,premis_cd,month,day,temp,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,uvindex,moonphase,conditions,sunset_time_difference,sunrise_time_difference,hour_crime_occ
20,624,14,F,H,101,9,22,24.0,56.7,0.0,25.0,250.4,1016.2,12.3,16.0,9,0.56,Clear,4,9,15
19,624,18,F,H,101,9,9,22.8,69.7,0.0,10.8,262.8,1010.6,15.4,15.1,9,0.1,Clear,2,15,21
20,624,64,M,A,101,8,28,21.8,72.9,0.0,21.5,244.2,1010.0,48.1,16.0,9,0.05,Partially cloudy,1,14,21
13,624,33,M,H,203,3,15,14.4,87.9,34.268,13.8,121.1,1013.8,95.8,9.8,2,0.79,"Rain, Overcast",10,2,9
3,624,25,F,B,108,9,23,21.8,69.2,0.0,17.1,267.6,1015.3,18.0,10.5,8,0.25,Clear,2,14,21
20,624,29,M,H,101,9,6,32.4,37.2,0.0,14.0,270.4,1009.1,3.0,12.6,9,0.65,Clear,3,10,16
17,624,21,F,H,108,3,18,14.0,67.2,0.0,17.1,258.6,1019.7,1.6,16.0,8,0.17,Clear,3,9,16
13,624,36,M,H,101,4,10,13.8,66.4,5.771,14.8,58.8,1015.3,67.0,15.5,6,0.59,"Rain, Partially cloudy",1,14,20
14,624,46,F,O,101,5,16,17.8,69.9,0.0,18.9,227.2,1013.0,26.8,15.1,9,0.52,Partially cloudy,1,15,21
9,624,46,F,H,502,11,21,18.8,45.7,0.0,9.9,61.5,1018.0,0.6,12.0,6,0.58,Clear,7,17,0
14,624,32,M,H,101,1,25,13.4,73.0,0.0,11.4,285.9,1015.3,18.7,11.3,6,0.75,Clear,10,1,7
18,624,58,M,B,501,5,18,18.0,67.6,0.0,20.5,267.6,1014.3,52.1,15.7,10,0.24,Partially cloudy,4,10,15
11,624,40,F,H,501,8,28,20.6,75.6,0.0,17.5,266.4,1007.5,33.4,12.1,10,0.7,Partially cloudy,2,11,17
11,624,23,M,H,501,6,9,20.3,76.0,0.0,10.6,227.5,1009.7,50.9,11.7,9,0.34,Partially cloudy,14,0,6
3,624,26,M,H,108,2,27,21.9,22.6,0.0,7.7,341.9,1020.4,2.4,15.8,7,0.14,Clear,4,8,14
13,624,49,F,H,108,7,24,20.0,68.5,0.0,21.9,262.9,1012.7,36.7,14.6,10,0.15,Partially cloudy,0,14,20
14,624,39,F,B,108,12,14,14.7,47.5,0.0,15.8,325.2,1018.0,18.6,16.0,5,0.0,Clear,0,10,16
15,624,14,M,H,102,5,21,18.3,77.3,0.0,17.4,234.9,1015.7,67.6,12.9,7,0.07,Partially cloudy,4,10,16
13,624,56,M,H,102,10,21,20.7,79.7,0.0,10.5,208.3,1012.1,46.5,13.7,7,0.88,Partially cloudy,12,1,6
7,624,45,M,W,108,6,6,19.3,66.6,0.0,13.2,251.8,1012.4,52.7,16.0,8,0.53,Partially cloudy,3,11,17
3,624,26,F,B,501,1,31,18.5,36.7,0.0,9.5,296.2,1022.1,1.3,16.0,6,0.22,Clear,5,15,22
6,624,34,M,O,102,11,12,14.6,44.9,0.0,8.6,264.4,1016.9,0.7,16.0,6,0.64,Clear,3,8,14
2,624,34,F,H,108,6,25,20.5,69.8,0.0,12.0,246.5,1012.3,28.0,13.5,10,0.89,Partially cloudy,7,7,13
6,624,31,M,O,203,7,17,21.0,68.2,0.0,15.9,260.1,1014.3,26.3,15.7,10,0.91,Partially cloudy,6,9,14
10,624,59,M,W,501,12,27,14.3,74.3,0.0,16.3,315.0,1014.3,57.1,13.2,5,0.43,Partially cloudy,9,1,8
2,624,28,M,B,502,11,22,16.2,30.6,0.0,10.8,302.2,1017.8,2.8,15.8,6,0.96,Clear,15,5,2
2,624,26,M,H,101,8,28,21.8,72.9,0.0,21.5,244.2,1010.0,48.1,16.0,9,0.05,Partially cloudy,4,9,15
2,624,49,M,H,101,7,4,21.1,70.4,0.0,19.3,251.7,1013.9,39.5,13.3,10,0.83,Partially cloudy,18,3,2
16,624,55,F,H,501,7,23,19.6,68.1,0.0,12.3,265.3,1012.3,55.4,14.9,10,0.11,Partially cloudy,9,5,11
9,624,50,F,W,502,2,7,14.6,40.8,0.0,12.4,219.2,1023.6,1.6,15.6,4,0.57,Clear,2,13,20
20,624,53,F,A,102,7,6,21.3,68.1,0.0,13.5,256.2,1012.8,37.8,15.2,10,0.89,Partially cloudy,5,10,16
2,624,45,F,H,502,11,14,14.6,51.9,0.0,8.4,282.4,1019.2,1.0,16.0,4,0.71,Clear,3,13,19
12,624,51,M,H,203,3,7,14.6,67.7,0.0,11.7,224.2,1017.1,78.1,15.8,4,0.8,Partially cloudy,10,1,8
3,624,20,F,B,108,2,8,14.5,67.8,0.0,12.3,265.6,1015.4,16.6,12.4,7,0.5,Clear,2,13,20
1,624,50,F,B,101,10,9,20.5,80.2,0.0,15.7,241.5,1016.0,54.1,11.5,7,0.5,Partially cloudy,3,14,21
4,624,58,M,H,101,10,31,19.5,56.6,0.0,6.5,308.0,1015.5,1.4,14.0,7,0.5,Clear,3,14,22
9,624,58,M,W,502,8,2,22.1,71.1,0.0,15.4,254.7,1015.2,9.2,16.0,9,0.18,Clear,12,2,8
12,624,32,F,B,108,6,24,19.3,70.1,0.0,17.5,260.4,1015.3,27.0,15.9,10,0.5,Partially cloudy,1,13,19
15,624,62,F,W,203,11,29,16.3,59.7,0.0,6.7,278.0,1017.5,0.6,14.2,6,0.85,Clear,2,8,14
8,624,45,M,H,101,2,9,19.4,28.3,0.0,10.5,258.8,1017.1,1.5,15.9,7,0.28,Clear,3,14,21
5,624,52,F,H,501,5,19,16.6,78.4,0.0,13.0,240.5,1011.9,98.3,12.4,9,0.63,Overcast,13,2,7
7,624,46,F,H,501,9,17,21.3,72.1,0.0,16.0,208.5,1009.3,38.9,15.7,7,0.75,Partially cloudy,2,14,20
8,624,21,F,H,501,7,2,20.2,75.5,0.0,20.4,236.4,1012.4,37.3,11.5,7,0.48,Partially cloudy,15,1,5
6,624,35,M,B,502,12,30,12.3,45.5,0.0,6.9,309.6,1022.0,1.2,16.0,6,0.52,Clear,1,9,16
